Ticker,Quandl_Code,Name,Exchange,Last Trade Date
A,EOD/A,Agilent Technologies Inc.,NYSE,2019-07-30
AA,EOD/AA,Alcoa Corporation,NYSE,2019-07-30
AAAU,EOD/AAAU,Perth Mint Physical Gold,NYSE Arca,2019-07-30
AABA,EOD/AABA,Altaba Inc.,NASDAQ,2019-07-30
AAC,EOD/AAC,AAC Holdings Inc.,NYSE,2019-07-30
AADR,EOD/AADR,AdvisorShares Dorsey Wright ADR,NYSE Arca,2019-07-30
AAL,EOD/AAL,American Airlines Group Inc.,NASDAQ,2019-07-30
AAMC,EOD/AAMC,Altisource Asset Management Corp Com,NYSE MKT,2019-07-30
AAME,EOD/AAME,Atlantic American Corporation,NASDAQ,2019-07-30
AAN,EOD/AAN,Aaron's Inc.,NYSE,2019-07-30
AAOI,EOD/AAOI,Applied Optoelectronics Inc.,NASDAQ,2019-07-30
AAON,EOD/AAON,AAON Inc.,NASDAQ,2019-07-30
AAP,EOD/AAP,Advance Auto Parts Inc W/I,NYSE,2019-07-30
AAPL,EOD/AAPL,Apple Inc.,NASDAQ,2019-07-30
AAT,EOD/AAT,American Assets Trust Inc.,NYSE,2019-07-30
AAU,EOD/AAU,Almaden Minerals Ltd.,NYSE MKT,2019-07-30
AAWW,EOD/AAWW,Atlas Air Worldwide Holdings,NASDAQ,2019-07-30
AAXJ,EOD/AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,2019-07-30
AAXN,EOD/AAXN,Axon Enterprise Inc.,NASDAQ,2019-07-30
AB,EOD/AB,AllianceBernstein Holding L.P. Units,NYSE,2019-07-30
ABB,EOD/ABB,ABB Ltd,NYSE,2019-07-30
ABBV,EOD/ABBV,AbbVie Inc.,NYSE,2019-07-30
ABC,EOD/ABC,AmerisourceBergen Corporation,NYSE,2019-07-30
ABCB,EOD/ABCB,Ameris Bancorp,NASDAQ,2019-07-30
ABDC,EOD/ABDC,Alcentra Capital Corp.,NASDAQ,2019-07-30
ABEO,EOD/ABEO,Abeona Therapeutics Inc.,NASDAQ,2019-07-30
ABEOW,EOD/ABEOW,Abeona Therapeutics Inc. Warrant,NASDAQ,2019-07-29
ABEV,EOD/ABEV,Ambev S.A. American Depositary Shares (Each representing 1),NYSE,2019-07-30
ABG,EOD/ABG,Asbury Automotive Group Inc,NYSE,2019-07-30
ABIL,EOD/ABIL,Ability Inc.,NASDAQ,2019-07-30
ABIO,EOD/ABIO,ARCA biopharma Inc.,NASDAQ,2019-07-30
ABM,EOD/ABM,ABM Industries Incorporated,NYSE,2019-07-30
ABMD,EOD/ABMD,ABIOMED Inc.,NASDAQ,2019-07-30
ABR,EOD/ABR,Arbor Realty Trust,NYSE,2019-07-30
ABR.P.A,EOD/ABR_P_A,Arbor Realty Trust Preferred Series A,NYSE,2019-07-30
ABR.P.B,EOD/ABR_P_B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,2019-07-30
ABR.P.C,EOD/ABR_P_C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,2019-07-30
ABT,EOD/ABT,Abbott Laboratories,NYSE,2019-07-30
ABTX,EOD/ABTX,Allegiance Bancshares Inc.,NASDAQ,2019-07-30
ABUS,EOD/ABUS,Arbutus Biopharma Corporation,NASDAQ,2019-07-30
AC,EOD/AC,Associated Capital Group Inc.,NYSE,2019-07-30
ACA,EOD/ACA,Arcosa Inc.,NYSE,2019-07-30
ACAD,EOD/ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,2019-07-30
ACAM,EOD/ACAM,Acamar Partners Acquisition Corp.,NASDAQ,2019-07-30
ACAMU,EOD/ACAMU,Acamar Partners Acquisition Corp. Units,NASDAQ,2019-07-30
ACAMW,EOD/ACAMW,Acamar Partners Acquisition Corp. Warrant,NASDAQ,2019-07-25
ACB,EOD/ACB,Aurora Cannabis Inc.,NYSE,2019-07-30
ACBI,EOD/ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,2019-07-30
ACC,EOD/ACC,American Campus Communities Inc,NYSE,2019-07-30
ACCO,EOD/ACCO,Acco Brands Corporation,NYSE,2019-07-30
ACER,EOD/ACER,Acer Therapeutics Inc.,NASDAQ,2019-07-30
ACGL,EOD/ACGL,Arch Capital Group Ltd.,NASDAQ,2019-07-30
ACGLO,EOD/ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,2019-07-30
ACGLP,EOD/ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ,2019-07-30
ACH,EOD/ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,2019-07-30
ACHC,EOD/ACHC,Acadia Healthcare Company Inc.,NASDAQ,2019-07-30
ACHN,EOD/ACHN,Achillion Pharmaceuticals Inc.,NASDAQ,2019-07-30
ACHV,EOD/ACHV,Achieve Life Sciences Inc.,NASDAQ,2019-07-30
ACIA,EOD/ACIA,Acacia Communications Inc.,NASDAQ,2019-07-30
ACIM,EOD/ACIM,SPDR MSCI ACWI IMI,NYSE Arca,2019-07-30
ACIU,EOD/ACIU,AC Immune SA,NASDAQ,2019-07-30
ACIW,EOD/ACIW,ACI Worldwide Inc.,NASDAQ,2019-07-30
ACLS,EOD/ACLS,Axcelis Technologies Inc.,NASDAQ,2019-07-30
ACM,EOD/ACM,AECOM,NYSE,2019-07-30
ACMR,EOD/ACMR,ACM Research Inc.,NASDAQ,2019-07-30
ACN,EOD/ACN,Accenture plc Class A (Ireland),NYSE,2019-07-30
ACNB,EOD/ACNB,ACNB Corporation,NASDAQ,2019-07-30
ACOR,EOD/ACOR,Acorda Therapeutics Inc.,NASDAQ,2019-07-30
ACP,EOD/ACP,Aberdeen Income Credit Strategies Fund,NYSE,2019-07-30
ACRE,EOD/ACRE,Ares Commercial Real Estate Corporation,NYSE,2019-07-30
ACRS,EOD/ACRS,Aclaris Therapeutics Inc.,NASDAQ,2019-07-30
ACRX,EOD/ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,2019-07-30
ACSG,EOD/ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity,NYSE Arca,2019-07-29
ACST,EOD/ACST,Acasti Pharma Inc.,NASDAQ,2019-07-30
ACT,EOD/ACT,AdvisorShares Vice ETF,NASDAQ,2019-07-30
ACTG,EOD/ACTG,Acacia Research Corporation,NASDAQ,2019-07-30
ACTT,EOD/ACTT,Act II Global Acquisition Corp.,NASDAQ,2019-07-29
ACTTU,EOD/ACTTU,Act II Global Acquisition Corp. Unit,NASDAQ,2019-07-29
ACTTW,EOD/ACTTW,Act II Global Acquisition Corp. Warrant,NASDAQ,2019-07-30
ACU,EOD/ACU,Acme United Corporation.,NYSE MKT,2019-07-30
ACV,EOD/ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,NYSE,2019-07-30
ACWF,EOD/ACWF,iShares Edge MSCI Multifactor Global,NYSE Arca,2019-07-30
ACWI,EOD/ACWI,iShares MSCI ACWI Index Fund,NASDAQ,2019-07-30
ACWX,EOD/ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,2019-07-30
ACY,EOD/ACY,AeroCentury Corp.,NYSE MKT,2019-07-30
ADAP,EOD/ADAP,Adaptimmune Therapeutics plc,NASDAQ,2019-07-30
ADBE,EOD/ADBE,Adobe Inc.,NASDAQ,2019-07-30
ADC,EOD/ADC,Agree Realty Corporation,NYSE,2019-07-30
ADES,EOD/ADES,Advanced Emissions Solutions Inc.,NASDAQ,2019-07-30
ADI,EOD/ADI,Analog Devices Inc.,NASDAQ,2019-07-30
ADIL,EOD/ADIL,Adial Pharmaceuticals Inc,NASDAQ,2019-07-30
ADILW,EOD/ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,2019-07-26
ADM,EOD/ADM,Archer-Daniels-Midland Company,NYSE,2019-07-30
ADMA,EOD/ADMA,ADMA Biologics Inc,NASDAQ,2019-07-30
ADMP,EOD/ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,2019-07-30
ADMS,EOD/ADMS,Adamas Pharmaceuticals Inc.,NASDAQ,2019-07-30
ADNT,EOD/ADNT,Adient plc,NYSE,2019-07-30
ADOM,EOD/ADOM,ADOMANI Inc.,NASDAQ,2019-07-30
ADP,EOD/ADP,Automatic Data Processing Inc.,NASDAQ,2019-07-30
ADPT,EOD/ADPT,Adaptive Biotechnologies Corporation,NASDAQ,2019-07-30
ADRA,EOD/ADRA,BLDRS Asia 50 ADR Index Fund,NASDAQ,2019-07-30
ADRD,EOD/ADRD,BLDRS Developed Markets 100 ADR Index Fund,NASDAQ,2019-07-30
ADRE,EOD/ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,2019-07-30
ADRO,EOD/ADRO,Aduro Biotech Inc.,NASDAQ,2019-07-30
ADRU,EOD/ADRU,BLDRS Europe 100 ADR Index Fund,NASDAQ,2019-07-30
ADS,EOD/ADS,Alliance Data Systems Corporation,NYSE,2019-07-30
ADSK,EOD/ADSK,Autodesk Inc.,NASDAQ,2019-07-30
ADSW,EOD/ADSW,Advanced Disposal Services Inc.,NYSE,2019-07-30
ADT,EOD/ADT,ADT Inc.,NYSE,2019-07-30
ADTN,EOD/ADTN,ADTRAN Inc.,NASDAQ,2019-07-30
ADUS,EOD/ADUS,Addus HomeCare Corporation,NASDAQ,2019-07-30
ADVM,EOD/ADVM,Adverum Biotechnologies Inc.,NASDAQ,2019-07-30
ADX,EOD/ADX,Adams Diversified Equity Fund Inc.,NYSE,2019-07-30
ADXS,EOD/ADXS,Advaxis Inc.,NASDAQ,2019-07-30
ADYX,EOD/ALQA,Adynxx Inc.,NASDAQ,2019-06-12
AE,EOD/AE,Adams Resources & Energy Inc.,NYSE MKT,2019-07-30
AEB,EOD/AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NYSE,2019-07-30
AED.CL,EOD/AED_CL,AEGON N.V. Perp. Cap. Securities (Netherlands),NYSE,2019-06-14
AEE,EOD/AEE,Ameren Corporation,NYSE,2019-07-30
AEF,EOD/AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,NYSE MKT,2019-07-30
AEG,EOD/AEG,AEGON N.V.,NYSE,2019-07-30
AEGN,EOD/AEGN,Aegion Corp,NASDAQ,2019-07-30
AEH,EOD/AEH,AEGON N.V. Perp. Cap Secs.,NYSE,2019-07-30
AEHR,EOD/AEHR,Aehr Test Systems,NASDAQ,2019-07-30
AEIS,EOD/AEIS,Advanced Energy Industries Inc.,NASDAQ,2019-07-30
AEL,EOD/AEL,American Equity Investment Life Holding Company,NYSE,2019-07-30
AEM,EOD/AEM,Agnico Eagle Mines Limited,NYSE,2019-07-30
AEMD,EOD/AEMD,Aethlon Medical Inc.,NASDAQ,2019-07-30
AEO,EOD/AEO,American Eagle Outfitters Inc.,NYSE,2019-07-30
AEP,EOD/AEP,American Electric Power Company Inc.,NYSE,2019-07-30
AEP.P.B,EOD/AEP_P_B,American Electric Power Company Inc. Corporate Unit,NYSE,2019-07-30
AER,EOD/AER,AerCap Holdings N.V.,NYSE,2019-07-30
AERI,EOD/AERI,Aerie Pharmaceuticals Inc.,NASDAQ,2019-07-30
AES,EOD/AES,The AES Corporation,NYSE,2019-07-30
AEY,EOD/AEY,ADDvantage Technologies Group Inc.,NASDAQ,2019-07-30
AEYE,EOD/AEYE,AudioEye Inc.,NASDAQ,2019-07-30
AEZS,EOD/AEZS,Aeterna Zentaris Inc.,NASDAQ,2019-07-30
AFB,EOD/AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,2019-07-30
AFC,EOD/AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,NYSE,2019-07-30
AFG,EOD/AFG,American Financial Group Inc.,NYSE,2019-07-30
AFGB,EOD/AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,2019-07-30
AFGE,EOD/AFGE,American Financial Group Inc. 6.25% Subordinated Debentures due 2054,NYSE,2019-07-30
AFGH,EOD/AFGH,American Financial Group Inc. 6% Subordinated Debentures due 2055,NYSE,2019-07-30
AFH,EOD/AFH,Atlas Financial Holdings Inc.,NASDAQ,2019-07-30
AFHBL,EOD/AFHBL,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,NASDAQ,2019-07-30
AFI,EOD/AFI,Armstrong Flooring Inc.,NYSE,2019-07-30
AFIN,EOD/AFIN,American Finance Trust Inc.,NASDAQ,2019-07-30
AFINP,EOD/AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,NASDAQ,2019-07-30
AFK,EOD/AFK,VanEck Vectors-Africa Index,NYSE Arca,2019-07-30
AFL,EOD/AFL,AFLAC Incorporated,NYSE,2019-07-30
AFMD,EOD/AFMD,Affimed N.V.,NASDAQ,2019-07-30
AFT,EOD/AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,2019-07-30
AFTY,EOD/AFTY,CSOP FTSE China A50,NYSE Arca,2019-07-30
AFYA,EOD/AFYA,Afya Ltd - Ordinary Shares - Class A,NASDAQ,2019-07-30
AG,EOD/AG,First Majestic Silver Corp. (Canada),NYSE,2019-07-30
AGBAR,EOD/AGBAR,AGBA Acquisition Limited Right,NASDAQ,2019-07-30
AGBAU,EOD/AGBAU,AGBA Acquisition Limited Unit,NASDAQ,2019-07-29
AGBAW,EOD/,AGBA Acquisition Limited Warrant,NASDAQ,2019-07-30
AGCO,EOD/AGCO,AGCO Corporation,NYSE,2019-07-30
AGD,EOD/AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,2019-07-30
AGE,EOD/AGE,AgeX Therapeutics Inc.,NYSE MKT,2019-07-30
AGEN,EOD/AGEN,Agenus Inc.,NASDAQ,2019-07-30
AGFS,EOD/AGFS,AgroFresh Solutions Inc.,NASDAQ,2019-07-30
AGFSW,EOD/AGFSW,AgroFresh Solutions Inc. Warrants,NASDAQ,2019-07-30
AGG,EOD/AGG,iShares Core U.S. Aggregate Bond,NYSE Arca,2019-07-30
AGGE,EOD/AGGE,IQ Enhanced Core Bond U.S.,NYSE Arca,2019-07-30
AGGP,EOD/AGGP,IQ Enhanced Core Plus Bond U.S.,NYSE Arca,2019-07-30
AGGY,EOD/AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,NYSE Arca,2019-07-30
AGI,EOD/AGI,Alamos Gold Inc. Class A,NYSE,2019-07-30
AGIO,EOD/AGIO,Agios Pharmaceuticals Inc.,NASDAQ,2019-07-30
AGLE,EOD/AGLE,Aeglea BioTherapeutics Inc.,NASDAQ,2019-07-30
AGM,EOD/AGM,Federal Agricultural Mortgage Corporation,NYSE,2019-07-30
AGM.A,EOD/AGM_A,Federal Agricultural Mortgage Corporation,NYSE,2019-07-30
AGM.P.A,EOD/AGM_P_A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,NYSE,2019-07-30
AGM.P.B.CL,EOD/AGM_P_B_CL,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,NYSE,2019-06-11
AGM.P.C,EOD/AGM_P_C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,2019-07-30
AGM.P.D,EOD/AGM_P_D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,NYSE,2019-07-30
AGMH,EOD/AGMH,AGM Group Holdings Inc.,NASDAQ,2019-07-30
AGN,EOD/AGN,Allergan plc,NYSE,2019-07-30
AGNC,EOD/AGNC,AGNC Investment Corp.,NASDAQ,2019-07-30
AGNCB,EOD/AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,NASDAQ,2019-07-30
AGNCM,EOD/AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,2019-07-30
AGNCN,EOD/AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,NASDAQ,2019-07-30
AGND,EOD/AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,NASDAQ,2019-07-30
AGO,EOD/AGO,Assured Guaranty Ltd.,NYSE,2019-07-30
AGO.P.B,EOD/AGO_P_B,Assured Guaranty Ltd.,NYSE,2019-07-30
AGO.P.E,EOD/AGO_P_E,Assured Guaranty Ltd.,NYSE,2019-07-30
AGO.P.F,EOD/AGO_P_F,Assured Guaranty Ltd.,NYSE,2019-07-30
AGQ,EOD/AGQ,ProShares Ultra Silver,NYSE Arca,2019-07-30
AGR,EOD/AGR,Avangrid Inc.,NYSE,2019-07-30
AGRO,EOD/AGRO,Adecoagro S.A.,NYSE,2019-07-30
AGRX,EOD/AGRX,Agile Therapeutics Inc.,NASDAQ,2019-07-30
AGS,EOD/AGS,PlayAGS Inc.,NYSE,2019-07-30
AGTC,EOD/AGTC,Applied Genetic Technologies Corporation,NASDAQ,2019-07-30
AGX,EOD/AGX,Argan Inc.,NYSE,2019-07-30
AGYS,EOD/AGYS,Agilysys Inc.,NASDAQ,2019-07-30
AGZ,EOD/AGZ,iShares Agency Bond,NYSE Arca,2019-07-30
AGZD,EOD/AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,NASDAQ,2019-07-30
AHC,EOD/AHC,A.H. Belo Corporation (TX),NYSE,2019-07-30
AHH,EOD/AHH,Armada Hoffler Properties Inc.,NYSE,2019-07-30
AHH.P.A,EOD/AHH_P_A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,NYSE,2019-07-30
AHL.P.C,EOD/AHL_P_C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,NYSE,2019-07-30
AHL.P.D,EOD/AHL_P_D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,2019-07-30
AHPI,EOD/AHPI,Allied Healthcare Products Inc.,NASDAQ,2019-07-30
AHT,EOD/AHT,Ashford Hospitality Trust Inc,NYSE,2019-07-30
AHT.P.D,EOD/AHT_P_D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE,2019-07-30
AHT.P.F,EOD/AHT_P_F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,NYSE,2019-07-30
AHT.P.G,EOD/AHT_P_G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,NYSE,2019-07-30
AHT.P.H,EOD/AHT_P_H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,NYSE,2019-07-30
AHT.P.I,EOD/AHT_P_I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,NYSE,2019-07-30
AI,EOD/AI,Arlington Asset Investment Corp Class A (new),NYSE,2019-07-30
AI.P.B,EOD/AI_P_B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,NYSE,2019-07-30
AI.P.C,EOD/AI_P_C,Arlington Asset Investment Corp 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE,2019-07-30
AIA,EOD/AIA,iShares Asia 50 ETF,NYSE Arca,2019-07-30
AIC,EOD/AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,NYSE,2019-07-30
AIEQ,EOD/AIEQ,AI Powered Equity,NYSE Arca,2019-07-30
AIF,EOD/AIF,Apollo Tactical Income Fund Inc.,NYSE,2019-07-30
AIG,EOD/AIG,American International Group Inc.,NYSE,2019-07-30
AIG.P.A,EOD/AIG_P_A,American International Group Inc. Depositary Shares Series A,NYSE,2019-07-30
AIG.WS,EOD/AIG_WS,American International Group Inc. Warrant expiring January 19 2021,NYSE,2019-07-30
AIHS,EOD/AIHS,Senmiao Technology Limited,NASDAQ,2019-07-30
AIIQ,EOD/AIIQ,AI Powered International Equity ETF,NYSE Arca,2019-07-30
AIMC,EOD/AIMC,Altra Industrial Motion Corp.,NASDAQ,2019-07-30
AIMT,EOD/AIMT,Aimmune Therapeutics Inc.,NASDAQ,2019-07-30
AIN,EOD/AIN,Albany International Corporation,NYSE,2019-07-30
AINC,EOD/AINC,Ashford Inc. (Holding Company),NYSE MKT,2019-07-30
AINV,EOD/AINV,Apollo Investment Corporation,NASDAQ,2019-07-30
AIQ,EOD/AIQ,Global X Future Analytics Tech ETF,NASDAQ,2019-07-30
AIR,EOD/AIR,AAR Corp.,NYSE,2019-07-30
AIRG,EOD/AIRG,Airgain Inc.,NASDAQ,2019-07-30
AIRI,EOD/AIRI,Air Industries Group,NYSE MKT,2019-07-30
AIRR,EOD/AIRR,First Trust RBA American Industrial Renaissance ET,NASDAQ,2019-07-30
AIRT,EOD/AIRT,Air T Inc.,NASDAQ,2019-07-30
AIRTP,EOD/AIRTP,Air T Inc. Air T Funding Trust Preferred Securities,NASDAQ,2019-07-30
AIRTW,EOD/AIRTW,Air T Inc. Air T Funding Warrants to Purchase Trust Preferred,NASDAQ,2019-07-30
AIT,EOD/AIT,Applied Industrial Technologies Inc.,NYSE,2019-07-30
AIV,EOD/AIV,Apartment Investment and Management Company,NYSE,2019-07-30
AIW,EOD/AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,NYSE,2019-07-30
AIY,EOD/AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043,NYSE,2019-07-30
AIZ,EOD/AIZ,Assurant Inc.,NYSE,2019-07-30
AIZP,EOD/AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,NYSE,2019-07-30
AJG,EOD/AJG,Arthur J. Gallagher & Co.,NYSE,2019-07-30
AJRD,EOD/AJRD,Aerojet Rocketdyne Holdings Inc.,NYSE,2019-07-30
AJX,EOD/AJX,Great Ajax Corp.,NYSE,2019-07-30
AJXA,EOD/AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,NYSE,2019-07-30
AKAM,EOD/AKAM,Akamai Technologies Inc.,NASDAQ,2019-07-30
AKBA,EOD/AKBA,Akebia Therapeutics Inc.,NASDAQ,2019-07-30
AKCA,EOD/AKCA,Akcea Therapeutics Inc.,NASDAQ,2019-07-30
AKER,EOD/AKER,Akers Biosciences Inc.,NASDAQ,2019-07-30
AKG,EOD/AKG,Asanko Gold Inc.,NYSE MKT,2019-07-30
AKO.A,EOD/AKO_A,Embotelladora Andina S.A.,NYSE,2019-07-29
AKO.B,EOD/AKO_B,Embotelladora Andina S.A.,NYSE,2019-07-30
AKR,EOD/AKR,Acadia Realty Trust,NYSE,2019-07-30
AKRO,EOD/AKRO,Akero Therapeutics Inc.,NASDAQ,2019-07-30
AKRX,EOD/AKRX,Akorn Inc.,NASDAQ,2019-07-30
AKS,EOD/AKS,AK Steel Holding Corporation,NYSE,2019-07-30
AKTS,EOD/AKTS,Akoustis Technologies Inc.,NASDAQ,2019-07-30
AKTX,EOD/AKTX,Akari Therapeutics Plc,NASDAQ,2019-07-30
AL,EOD/AL,Air Lease Corporation Class A,NYSE,2019-07-30
AL.P.A,EOD/AL_P_A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,NYSE,2019-07-30
ALAC,EOD/ALAC,Alberton Acquisition Corporation,NASDAQ,2019-07-29
ALACR,EOD/ALACR,Alberton Acquisition Corporation Rights,NASDAQ,2019-07-25
ALACU,EOD/ALACU,Alberton Acquisition Corporation Unit,NASDAQ,2019-07-29
ALACW,EOD/ALACW,Alberton Acquisition Corporation Warrant,NASDAQ,2019-07-29
ALB,EOD/ALB,Albemarle Corporation,NYSE,2019-07-30
ALBO,EOD/ALBO,Albireo Pharma Inc.,NASDAQ,2019-07-30
ALC,EOD/ALC,Alcon Inc.,NYSE,2019-07-30
ALCO,EOD/ALCO,Alico Inc.,NASDAQ,2019-07-30
ALDR,EOD/ALDR,Alder BioPharmaceuticals Inc.,NASDAQ,2019-07-30
ALDX,EOD/ALDX,Aldeyra Therapeutics Inc.,NASDAQ,2019-07-30
ALE,EOD/ALE,Allete Inc.,NYSE,2019-07-30
ALEC,EOD/ALEC,Alector Inc.,NASDAQ,2019-07-30
ALEX,EOD/ALEX,Alexander & Baldwin Inc. REIT Holding Company,NYSE,2019-07-30
ALG,EOD/ALG,Alamo Group Inc.,NYSE,2019-07-30
ALGN,EOD/ALGN,Align Technology Inc.,NASDAQ,2019-07-30
ALGR,EOD/ALGR,Allegro Merger Corp.,NASDAQ,2019-07-29
ALGRR,EOD/ALGRR,Allegro Merger Corp. Right,NASDAQ,2019-07-16
ALGRU,EOD/ALGRU,Allegro Merger Corp. Unit,NASDAQ,2019-07-30
ALGRW,EOD/ALGRW,Allegro Merger Corp. Warrant,NASDAQ,2019-07-19
ALGT,EOD/ALGT,Allegiant Travel Company,NASDAQ,2019-07-30
ALIM,EOD/ALIM,Alimera Sciences Inc.,NASDAQ,2019-07-30
ALJJ,EOD/ALJJ,ALJ Regional Holdings Inc.,NASDAQ,2019-07-30
ALK,EOD/ALK,Alaska Air Group Inc.,NYSE,2019-07-30
ALKS,EOD/ALKS,Alkermes plc,NASDAQ,2019-07-30
ALL,EOD/ALL,Allstate Corporation (The),NYSE,2019-07-30
ALL.P.A,EOD/ALL_P_A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,NYSE,2019-07-30
ALL.P.B,EOD/ALL_P_B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,NYSE,2019-07-30
ALL.P.D,EOD/ALL_P_D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,NYSE,2019-07-30
ALL.P.E,EOD/ALL_P_E,Allstate Corporation Depositary Shares Series E,NYSE,2019-07-30
ALL.P.F,EOD/ALL_P_F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,NYSE,2019-07-30
ALL.P.G,EOD/ALL_P_G,Allstate Corporation (The) Depositary Shares Series G,NYSE,2019-07-30
ALLE,EOD/ALLE,Allegion plc,NYSE,2019-07-30
ALLK,EOD/ALLK,Allakos Inc.,NASDAQ,2019-07-30
ALLO,EOD/ALLO,Allogene Therapeutics Inc.,NASDAQ,2019-07-30
ALLT,EOD/ALLT,Allot Ltd.,NASDAQ,2019-07-30
ALLY,EOD/ALLY,Ally Financial Inc.,NYSE,2019-07-30
ALLY.P.A,EOD/ALLY_P_A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,NYSE,2019-07-30
ALNA,EOD/ALNA,Allena Pharmaceuticals Inc.,NASDAQ,2019-07-30
ALNY,EOD/ALNY,Alnylam Pharmaceuticals Inc.,NASDAQ,2019-07-30
ALO,EOD/ALO,Alio Gold Inc. (Canada),NYSE MKT,2019-07-30
ALOT,EOD/ALOT,AstroNova Inc.,NASDAQ,2019-07-30
ALP.P.Q,EOD/ALP_P_Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),NYSE,2019-07-30
ALPN,EOD/ALPN,Alpine Immune Sciences Inc.,NASDAQ,2019-07-30
ALRM,EOD/ALRM,Alarm.com Holdings Inc.,NASDAQ,2019-07-30
ALRN,EOD/ALRN,Aileron Therapeutics Inc.,NASDAQ,2019-07-30
ALSK,EOD/ALSK,Alaska Communications Systems Group Inc.,NASDAQ,2019-07-30
ALSN,EOD/ALSN,Allison Transmission Holdings Inc.,NYSE,2019-07-30
ALT,EOD/ALT,Altimmune Inc.,NYSE MKT,2019-07-30
ALTM,EOD/KAAC,Altus Midstream Company,NASDAQ,2019-07-30
ALTR,EOD/ALTR,Altair Engineering Inc.,NASDAQ,2019-07-30
